
FalkorDB init  tier=500,000  indexed=True  batch=10,000  throttle=0.0ms
  ⚠ init graph 'crm_init_500000' has 750,000 nodes (expected 500,000); rebuilding
  loading 'crm_init_500000': 500,000 nodes, batch=10,000, indexed=True...
    20,000/500,000  (13.6s)
    40,000/500,000  (29.3s)
    60,000/500,000  (46.4s)
    80,000/500,000  (68.0s)
    100,000/500,000  (92.2s)
    120,000/500,000  (106.6s)
    140,000/500,000  (127.1s)
    160,000/500,000  (149.5s)
    180,000/500,000  (164.0s)
    200,000/500,000  (184.5s)
    220,000/500,000  (207.3s)
    240,000/500,000  (222.0s)
    260,000/500,000  (243.1s)
    280,000/500,000  (266.2s)
    300,000/500,000  (280.6s)
    320,000/500,000  (301.7s)
    340,000/500,000  (324.6s)
    360,000/500,000  (339.1s)
    380,000/500,000  (360.2s)
    400,000/500,000  (383.2s)
    420,000/500,000  (398.1s)
    440,000/500,000  (419.5s)
    460,000/500,000  (442.8s)
    480,000/500,000  (457.9s)
    500,000/500,000  (479.5s)
  ✓ 'crm_init_500000' loaded in 479.5s (500,000 nodes, 1,000,000 edges)
