[init] dropping graph 'bench2_b7_noisy_2m'
[init] creating composite index :entity(uuid_hi, uuid_lo)
[init] loading 750,000 MERGE-pairs (1,500,000 nodes, 750,000 edges)
[init]   5,000 pairs loaded
[init]   10,000 pairs loaded
[init]   15,000 pairs loaded
[init]   20,000 pairs loaded
[init]   25,000 pairs loaded
[init]   30,000 pairs loaded
[init]   35,000 pairs loaded
[init]   40,000 pairs loaded
[init]   45,000 pairs loaded
[init]   50,000 pairs loaded
[init]   55,000 pairs loaded
[init]   60,000 pairs loaded
[init]   65,000 pairs loaded
[init]   70,000 pairs loaded
[init]   75,000 pairs loaded
[init]   80,000 pairs loaded
[init]   85,000 pairs loaded
[init]   90,000 pairs loaded
[init]   95,000 pairs loaded
[init]   100,000 pairs loaded
[init]   105,000 pairs loaded
[init]   110,000 pairs loaded
[init]   115,000 pairs loaded
[init]   120,000 pairs loaded
[init]   125,000 pairs loaded
[init]   130,000 pairs loaded
[init]   135,000 pairs loaded
[init]   140,000 pairs loaded
[init]   145,000 pairs loaded
[init]   150,000 pairs loaded
[init]   155,000 pairs loaded
[init]   160,000 pairs loaded
[init]   165,000 pairs loaded
[init]   170,000 pairs loaded
[init]   175,000 pairs loaded
[init]   180,000 pairs loaded
[init]   185,000 pairs loaded
[init]   190,000 pairs loaded
[init]   195,000 pairs loaded
[init]   200,000 pairs loaded
[init]   205,000 pairs loaded
[init]   210,000 pairs loaded
[init]   215,000 pairs loaded
[init]   220,000 pairs loaded
[init]   225,000 pairs loaded
[init]   230,000 pairs loaded
[init]   235,000 pairs loaded
[init]   240,000 pairs loaded
[init]   245,000 pairs loaded
[init]   250,000 pairs loaded
[init]   255,000 pairs loaded
[init]   260,000 pairs loaded
[init]   265,000 pairs loaded
[init]   270,000 pairs loaded
[init]   275,000 pairs loaded
[init]   280,000 pairs loaded
[init]   285,000 pairs loaded
[init]   290,000 pairs loaded
[init]   295,000 pairs loaded
[init]   300,000 pairs loaded
[init]   305,000 pairs loaded
[init]   310,000 pairs loaded
[init]   315,000 pairs loaded
[init]   320,000 pairs loaded
[init]   325,000 pairs loaded
[init]   330,000 pairs loaded
[init]   335,000 pairs loaded
[init]   340,000 pairs loaded
[init]   345,000 pairs loaded
[init]   350,000 pairs loaded
[init]   355,000 pairs loaded
[init]   360,000 pairs loaded
[init]   365,000 pairs loaded
[init]   370,000 pairs loaded
[init]   375,000 pairs loaded
[init]   380,000 pairs loaded
[init]   385,000 pairs loaded
[init]   390,000 pairs loaded
[init]   395,000 pairs loaded
[init]   400,000 pairs loaded
[init]   405,000 pairs loaded
[init]   410,000 pairs loaded
[init]   415,000 pairs loaded
[init]   420,000 pairs loaded
[init]   425,000 pairs loaded
[init]   430,000 pairs loaded
[init]   435,000 pairs loaded
[init]   440,000 pairs loaded
[init]   445,000 pairs loaded
[init]   450,000 pairs loaded
[init]   455,000 pairs loaded
[init]   460,000 pairs loaded
[init]   465,000 pairs loaded
[init]   470,000 pairs loaded
[init]   475,000 pairs loaded
[init]   480,000 pairs loaded
[init]   485,000 pairs loaded
[init]   490,000 pairs loaded
[init]   495,000 pairs loaded
[init]   500,000 pairs loaded
[init]   505,000 pairs loaded
[init]   510,000 pairs loaded
[init]   515,000 pairs loaded
[init]   520,000 pairs loaded
[init]   525,000 pairs loaded
[init]   530,000 pairs loaded
[init]   535,000 pairs loaded
[init]   540,000 pairs loaded
[init]   545,000 pairs loaded
[init]   550,000 pairs loaded
[init]   555,000 pairs loaded
[init]   560,000 pairs loaded
[init]   565,000 pairs loaded
[init]   570,000 pairs loaded
[init]   575,000 pairs loaded
[init]   580,000 pairs loaded
[init]   585,000 pairs loaded
[init]   590,000 pairs loaded
[init]   595,000 pairs loaded
[init]   600,000 pairs loaded
[init]   605,000 pairs loaded
[init]   610,000 pairs loaded
[init]   615,000 pairs loaded
[init]   620,000 pairs loaded
[init]   625,000 pairs loaded
[init]   630,000 pairs loaded
[init]   635,000 pairs loaded
[init]   640,000 pairs loaded
[init]   645,000 pairs loaded
[init]   650,000 pairs loaded
[init]   655,000 pairs loaded
[init]   660,000 pairs loaded
[init]   665,000 pairs loaded
[init]   670,000 pairs loaded
[init]   675,000 pairs loaded
[init]   680,000 pairs loaded
[init]   685,000 pairs loaded
[init]   690,000 pairs loaded
[init]   695,000 pairs loaded
[init]   700,000 pairs loaded
[init]   705,000 pairs loaded
[init]   710,000 pairs loaded
[init]   715,000 pairs loaded
[init]   720,000 pairs loaded
[init]   725,000 pairs loaded
[init]   730,000 pairs loaded
[init]   735,000 pairs loaded
[init]   740,000 pairs loaded
[init]   745,000 pairs loaded
[init]   750,000 pairs loaded
[init] adding hub/star edges between existing nodes
[init]   hub/star 5/2700 batches (2,500 edges)
[init]   hub/star 10/2700 batches (5,000 edges)
[init]   hub/star 15/2700 batches (7,500 edges)
[init]   hub/star 20/2700 batches (10,000 edges)
[init]   hub/star 25/2700 batches (12,500 edges)
[init]   hub/star 30/2700 batches (15,000 edges)
[init]   hub/star 35/2700 batches (17,500 edges)
[init]   hub/star 40/2700 batches (20,000 edges)
[init]   hub/star 45/2700 batches (22,500 edges)
[init]   hub/star 50/2700 batches (25,000 edges)
[init]   hub/star 55/2700 batches (27,500 edges)
[init]   hub/star 60/2700 batches (30,000 edges)
[init]   hub/star 65/2700 batches (32,500 edges)
[init]   hub/star 70/2700 batches (35,000 edges)
[init]   hub/star 75/2700 batches (37,500 edges)
[init]   hub/star 80/2700 batches (40,000 edges)
[init]   hub/star 85/2700 batches (42,500 edges)
[init]   hub/star 90/2700 batches (45,000 edges)
[init]   hub/star 95/2700 batches (47,500 edges)
[init]   hub/star 100/2700 batches (50,000 edges)
[init]   hub/star 105/2700 batches (52,500 edges)
[init]   hub/star 110/2700 batches (55,000 edges)
[init]   hub/star 115/2700 batches (57,500 edges)
[init]   hub/star 120/2700 batches (60,000 edges)
[init]   hub/star 125/2700 batches (62,500 edges)
[init]   hub/star 130/2700 batches (65,000 edges)
[init]   hub/star 135/2700 batches (67,500 edges)
[init]   hub/star 140/2700 batches (70,000 edges)
[init]   hub/star 145/2700 batches (72,500 edges)
[init]   hub/star 150/2700 batches (75,000 edges)
[init]   hub/star 155/2700 batches (77,500 edges)
[init]   hub/star 160/2700 batches (80,000 edges)
[init]   hub/star 165/2700 batches (82,500 edges)
[init]   hub/star 170/2700 batches (85,000 edges)
[init]   hub/star 175/2700 batches (87,500 edges)
[init]   hub/star 180/2700 batches (90,000 edges)
[init]   hub/star 185/2700 batches (92,500 edges)
[init]   hub/star 190/2700 batches (95,000 edges)
[init]   hub/star 195/2700 batches (97,500 edges)
[init]   hub/star 200/2700 batches (100,000 edges)
[init]   hub/star 205/2700 batches (102,500 edges)
[init]   hub/star 210/2700 batches (105,000 edges)
[init]   hub/star 215/2700 batches (107,500 edges)
[init]   hub/star 220/2700 batches (110,000 edges)
[init]   hub/star 225/2700 batches (112,500 edges)
[init]   hub/star 230/2700 batches (115,000 edges)
[init]   hub/star 235/2700 batches (117,500 edges)
[init]   hub/star 240/2700 batches (120,000 edges)
[init]   hub/star 245/2700 batches (122,500 edges)
[init]   hub/star 250/2700 batches (125,000 edges)
[init]   hub/star 255/2700 batches (127,500 edges)
[init]   hub/star 260/2700 batches (130,000 edges)
[init]   hub/star 265/2700 batches (132,500 edges)
[init]   hub/star 270/2700 batches (135,000 edges)
[init]   hub/star 275/2700 batches (137,500 edges)
[init]   hub/star 280/2700 batches (140,000 edges)
[init]   hub/star 285/2700 batches (142,500 edges)
[init]   hub/star 290/2700 batches (145,000 edges)
[init]   hub/star 295/2700 batches (147,500 edges)
[init]   hub/star 300/2700 batches (150,000 edges)
[init]   hub/star 305/2700 batches (152,500 edges)
[init]   hub/star 310/2700 batches (155,000 edges)
[init]   hub/star 315/2700 batches (157,500 edges)
[init]   hub/star 320/2700 batches (160,000 edges)
