[init] dropping graph 'standalone_m6i_2x_t3_500k'
[init] creating composite index :entity(uuid_hi, uuid_lo)
[init] loading 500,000 :entity:account nodes (50 props each, no edges, Test 1)
[init]   5/500 batches (5,000 nodes)
[init]   10/500 batches (10,000 nodes)
[init]   15/500 batches (15,000 nodes)
[init]   20/500 batches (20,000 nodes)
[init]   25/500 batches (25,000 nodes)
[init]   30/500 batches (30,000 nodes)
[init]   35/500 batches (35,000 nodes)
[init]   40/500 batches (40,000 nodes)
[init]   45/500 batches (45,000 nodes)
[init]   50/500 batches (50,000 nodes)
[init]   55/500 batches (55,000 nodes)
[init]   60/500 batches (60,000 nodes)
[init]   65/500 batches (65,000 nodes)
[init]   70/500 batches (70,000 nodes)
[init]   75/500 batches (75,000 nodes)
[init]   80/500 batches (80,000 nodes)
[init]   85/500 batches (85,000 nodes)
[init]   90/500 batches (90,000 nodes)
[init]   95/500 batches (95,000 nodes)
[init]   100/500 batches (100,000 nodes)
[init]   105/500 batches (105,000 nodes)
[init]   110/500 batches (110,000 nodes)
[init]   115/500 batches (115,000 nodes)
[init]   120/500 batches (120,000 nodes)
[init]   125/500 batches (125,000 nodes)
[init]   130/500 batches (130,000 nodes)
[init]   135/500 batches (135,000 nodes)
[init]   140/500 batches (140,000 nodes)
[init]   145/500 batches (145,000 nodes)
[init]   150/500 batches (150,000 nodes)
[init]   155/500 batches (155,000 nodes)
[init]   160/500 batches (160,000 nodes)
[init]   165/500 batches (165,000 nodes)
[init]   170/500 batches (170,000 nodes)
[init]   175/500 batches (175,000 nodes)
[init]   180/500 batches (180,000 nodes)
[init]   185/500 batches (185,000 nodes)
[init]   190/500 batches (190,000 nodes)
[init]   195/500 batches (195,000 nodes)
[init]   200/500 batches (200,000 nodes)
[init]   205/500 batches (205,000 nodes)
[init]   210/500 batches (210,000 nodes)
[init]   215/500 batches (215,000 nodes)
[init]   220/500 batches (220,000 nodes)
[init]   225/500 batches (225,000 nodes)
[init]   230/500 batches (230,000 nodes)
[init]   235/500 batches (235,000 nodes)
[init]   240/500 batches (240,000 nodes)
[init]   245/500 batches (245,000 nodes)
[init]   250/500 batches (250,000 nodes)
[init]   255/500 batches (255,000 nodes)
[init]   260/500 batches (260,000 nodes)
[init]   265/500 batches (265,000 nodes)
[init]   270/500 batches (270,000 nodes)
[init]   275/500 batches (275,000 nodes)
[init]   280/500 batches (280,000 nodes)
[init]   285/500 batches (285,000 nodes)
[init]   290/500 batches (290,000 nodes)
[init]   295/500 batches (295,000 nodes)
[init]   300/500 batches (300,000 nodes)
[init]   305/500 batches (305,000 nodes)
[init]   310/500 batches (310,000 nodes)
[init]   315/500 batches (315,000 nodes)
[init]   320/500 batches (320,000 nodes)
[init]   325/500 batches (325,000 nodes)
[init]   330/500 batches (330,000 nodes)
[init]   335/500 batches (335,000 nodes)
[init]   340/500 batches (340,000 nodes)
[init]   345/500 batches (345,000 nodes)
[init]   350/500 batches (350,000 nodes)
[init]   355/500 batches (355,000 nodes)
[init]   360/500 batches (360,000 nodes)
[init]   365/500 batches (365,000 nodes)
[init]   370/500 batches (370,000 nodes)
[init]   375/500 batches (375,000 nodes)
[init]   380/500 batches (380,000 nodes)
[init]   385/500 batches (385,000 nodes)
[init]   390/500 batches (390,000 nodes)
[init]   395/500 batches (395,000 nodes)
[init]   400/500 batches (400,000 nodes)
[init]   405/500 batches (405,000 nodes)
[init]   410/500 batches (410,000 nodes)
[init]   415/500 batches (415,000 nodes)
[init]   420/500 batches (420,000 nodes)
[init]   425/500 batches (425,000 nodes)
[init]   430/500 batches (430,000 nodes)
[init]   435/500 batches (435,000 nodes)
[init]   440/500 batches (440,000 nodes)
[init]   445/500 batches (445,000 nodes)
[init]   450/500 batches (450,000 nodes)
[init]   455/500 batches (455,000 nodes)
[init]   460/500 batches (460,000 nodes)
[init]   465/500 batches (465,000 nodes)
[init]   470/500 batches (470,000 nodes)
[init]   475/500 batches (475,000 nodes)
[init]   480/500 batches (480,000 nodes)
[init]   485/500 batches (485,000 nodes)
[init]   490/500 batches (490,000 nodes)
[init]   495/500 batches (495,000 nodes)
[init]   500/500 batches (500,000 nodes)
[init] done — graph has 500,000 nodes / 0 edges
OK — 500,000 nodes / 0 edges (indexed=True, shape=add_new_node)
