[init] dropping graph 'standalone_m6i_2x_t5_1_5m'
[init] creating composite index :entity(uuid_hi, uuid_lo)
[init] loading 1,500,000 :entity:account nodes (50 props each, no edges, Test 1)
[init]   5/1500 batches (5,000 nodes)
[init]   10/1500 batches (10,000 nodes)
[init]   15/1500 batches (15,000 nodes)
[init]   20/1500 batches (20,000 nodes)
[init]   25/1500 batches (25,000 nodes)
[init]   30/1500 batches (30,000 nodes)
[init]   35/1500 batches (35,000 nodes)
[init]   40/1500 batches (40,000 nodes)
[init]   45/1500 batches (45,000 nodes)
[init]   50/1500 batches (50,000 nodes)
[init]   55/1500 batches (55,000 nodes)
[init]   60/1500 batches (60,000 nodes)
[init]   65/1500 batches (65,000 nodes)
[init]   70/1500 batches (70,000 nodes)
[init]   75/1500 batches (75,000 nodes)
[init]   80/1500 batches (80,000 nodes)
[init]   85/1500 batches (85,000 nodes)
[init]   90/1500 batches (90,000 nodes)
[init]   95/1500 batches (95,000 nodes)
[init]   100/1500 batches (100,000 nodes)
[init]   105/1500 batches (105,000 nodes)
[init]   110/1500 batches (110,000 nodes)
[init]   115/1500 batches (115,000 nodes)
[init]   120/1500 batches (120,000 nodes)
[init]   125/1500 batches (125,000 nodes)
[init]   130/1500 batches (130,000 nodes)
[init]   135/1500 batches (135,000 nodes)
[init]   140/1500 batches (140,000 nodes)
[init]   145/1500 batches (145,000 nodes)
[init]   150/1500 batches (150,000 nodes)
[init]   155/1500 batches (155,000 nodes)
[init]   160/1500 batches (160,000 nodes)
[init]   165/1500 batches (165,000 nodes)
[init]   170/1500 batches (170,000 nodes)
[init]   175/1500 batches (175,000 nodes)
[init]   180/1500 batches (180,000 nodes)
[init]   185/1500 batches (185,000 nodes)
[init]   190/1500 batches (190,000 nodes)
[init]   195/1500 batches (195,000 nodes)
[init]   200/1500 batches (200,000 nodes)
[init]   205/1500 batches (205,000 nodes)
[init]   210/1500 batches (210,000 nodes)
[init]   215/1500 batches (215,000 nodes)
[init]   220/1500 batches (220,000 nodes)
[init]   225/1500 batches (225,000 nodes)
[init]   230/1500 batches (230,000 nodes)
[init]   235/1500 batches (235,000 nodes)
[init]   240/1500 batches (240,000 nodes)
[init]   245/1500 batches (245,000 nodes)
[init]   250/1500 batches (250,000 nodes)
[init]   255/1500 batches (255,000 nodes)
[init]   260/1500 batches (260,000 nodes)
[init]   265/1500 batches (265,000 nodes)
[init]   270/1500 batches (270,000 nodes)
[init]   275/1500 batches (275,000 nodes)
[init]   280/1500 batches (280,000 nodes)
[init]   285/1500 batches (285,000 nodes)
[init]   290/1500 batches (290,000 nodes)
[init]   295/1500 batches (295,000 nodes)
[init]   300/1500 batches (300,000 nodes)
[init]   305/1500 batches (305,000 nodes)
[init]   310/1500 batches (310,000 nodes)
[init]   315/1500 batches (315,000 nodes)
[init]   320/1500 batches (320,000 nodes)
[init]   325/1500 batches (325,000 nodes)
[init]   330/1500 batches (330,000 nodes)
[init]   335/1500 batches (335,000 nodes)
[init]   340/1500 batches (340,000 nodes)
